day,aqi
1,55
2,76
3,55
4,31
5,32
6,89
7,118
8,109
9,96
10,156
11,129
12,96
13,48
14,47
15,51
16,47
17,36
18,40
19,31
20,32
21,39
22,62
23,56
24,56
25,56
26,32
27,35
28,32
29,32
30,35
31,39
32,59
33,51
34,31
35,53
36,64
37,72
38,39
39,53
40,49
41,39
42,37
43,52
44,40
45,41
46,31
47,37
48,39
49,51
50,46
51,38
52,34
53,39
54,44
55,39
56,48
57,54
58,54
59,45
60,41
61,42
62,59
63,62
64,52
65,43
66,43
67,43
68,44
69,42
70,42
71,44
72,44
73,51
74,53
75,41
76,39
77,43
78,50
79,47
80,44
81,45
82,50
83,61
84,80
85,51
86,54
87,51
88,51
89,54
90,50
91,51
92,49
93,54
94,37
95,46
96,51
97,50
98,51
99,50
100,54
101,101
102,97
103,84
104,69
105,31
106,44
107,47
108,48
109,47
110,44
111,42
112,41
113,43
114,44
115,42
116,47
117,61
118,38
119,39
120,40
121,43
122,45
123,47
124,47
125,50
126,50
127,50
128,50
129,44
130,90
131,100
132,61
133,51
134,42
135,58
136,51
137,37
138,153
139,42
140,56
141,112
142,112
143,140
144,62
145,64
146,93
147,112
148,115
149,108
150,84
151,97
152,74
153,90
154,122
155,93
156,90
157,101
158,68
159,97
160,136
161,97
162,38
163,52
164,108
165,180
166,134
167,75
168,100
169,67
170,100
171,164
172,164
173,147
174,119
175,64
176,51
177,77
178,135
179,157
180,93
181,74
182,76
183,75
184,84
185,47
186,36
187,44
188,45
189,38
190,46
191,67
192,41
193,58
194,54
195,77
196,140
197,68
198,65
199,49
200,51
201,105
202,55
203,59
204,119
205,99
206,108
207,77
208,58
209,76
210,45
211,41
212,101
213,58
214,90
215,67
216,93
217,81
218,66
219,66
220,77
221,76
222,45
223,45
224,35
225,28
226,29
227,34
228,68
229,61
230,105
231,56
232,70
233,70
234,68
235,63
236,54
237,43
238,29
239,53
240,48
241,91
242,52
243,60
244,63
245,54
246,90
247,77
248,60
249,61
250,23
251,46
252,58
253,57
254,61
255,31
256,36
257,58
258,53
259,67
260,52
261,48
262,55
263,61
264,71
265,54
266,38
267,51
268,42
269,43
270,36
271,36
272,44
273,62
274,58
275,60
276,69
277,31
278,26
279,27
280,23
281,31
282,30
283,33
284,34
285,20
286,23
287,28
288,29
289,39
290,40
291,27
292,31
293,49
294,28
295,34
296,30
297,48
298,44
299,25
300,29
301,54
302,43
303,32
304,29
305,37
306,63
307,62
308,76
309,61
310,31
311,20
312,28
313,30
314,21
315,35
316,29
317,29
318,74
319,40
320,50
321,28
322,63
323,58
324,31
325,30
326,33
327,34
328,28
329,33
330,31
331,31
332,26
333,32
334,44
335,38
336,45
337,53
338,62
339,62
340,47
341,50
342,29
343,31
344,31
345,48
346,38
347,55
348,63
349,73
350,73
351,35
352,33
353,26
354,39
355,63
356,93
357,74
358,49
359,27
360,22
361,47
362,28
363,28
364,30
365,26
