ID,agent_type,lat,lon
240001,2,45.01392,-93.32258
240002,2,46.79365,-92.09643
240004,2,44.97283,-93.26265
240006,2,44.02015,-92.43928
240010,2,44.0204,-92.48292
240014,2,44.4731603,-93.1913915
240018,2,44.5598461,-92.5719692
240019,2,46.792392,-92.0937012
240020,2,45.5660323,-93.2313487
240022,2,43.6220283,-95.5981857
240030,2,45.8737908,-95.3763326
240036,2,45.5754333,-94.1690871
240038,2,44.9430839,-93.107251
240040,2,47.409794,-92.9302665
240043,2,43.652558,-93.3726662
240044,2,44.0329223,-91.6232056
240047,2,46.7968638,-92.0877975
240050,2,45.3217739,-93.0004123
240052,2,46.2767122,-96.0733062
240053,2,44.9294826,-93.3622351
240056,2,44.8430167,-93.7930026
240057,2,44.9543223,-93.2614267
240059,2,44.7470927,-92.8730792
240063,2,44.9493542,-93.1002264
240064,2,47.2235795,-93.5552745
240066,2,45.0471999,-92.8182783
240069,2,44.1119763,-93.2515328
240071,2,44.2885084,-93.2575451
240075,2,46.3620609,-94.206061
240076,2,45.1943566,-93.8708722
240078,2,44.886614,-93.3269303
240080,2,44.9676505,-93.2377771
240084,2,47.5311996,-92.5495307
240088,2,45.1198421,-95.0460013
240093,2,44.1638292,-93.9831705
240100,2,47.5036835,-94.8986132
240101,2,46.8151671,-95.8439655
240104,2,44.7715422,-93.5031318
240106,2,44.9556911,-93.0945209
240115,2,45.1830798,-93.3689239
240141,2,45.558453,-93.5901133
240166,2,43.6391266689023,-94.4501924514771
240187,2,44.8756369,-94.3732621
240206,2,47.8759681,-94.9977594
240207,2,44.7486955,-93.2730204
240210,2,45.0288694,-93.033733
240213,2,44.9215831,-92.9766275
240214,2,45.1325097,-93.4810089
241300,2,47.3114617,-95.9720142
241301,2,48.7066142,-94.6003572
241302,2,44.0454924,-95.4392562
241303,2,44.2324448,-95.607218
241304,2,45.8091127,-96.5012237
241305,2,46.5297129,-93.698391
241306,2,44.7744035,-94.9724175
241308,2,47.0299134,-91.6664824
241309,2,46.119825,-92.885092
241311,2,44.6105975,-94.0852789
241312,2,47.8531816,-92.6790643
241313,2,47.2980276,-96.5304508
241314,2,44.9311932,-96.0667739
241315,2,43.6243366,-95.0044183
241316,2,47.7474303,-93.6458065
241317,2,47.7565216,-90.341738
241318,2,47.9003145,-91.8722064
241319,2,43.9921319,-95.7598768
241320,2,47.7743279,-96.6170792
241321,2,45.5627318,-96.4340871
241322,2,48.5949851,-93.431615
241323,2,44.0492443,-94.4097427
241325,2,44.9537629,-95.7127982
241326,2,45.9731136,-94.8431137
241327,2,44.2995025,-94.7275667
241328,2,47.5259184,-95.4022099
241329,2,46.3511719,-94.7514812
241330,2,45.6757674,-94.8240128
241332,2,43.8789962,-95.1129528
241333,2,43.9699925,-94.6225868
241334,2,44.3501135,-93.9732074
241335,2,44.3878137,-92.0473794
241336,2,48.7673095,-96.9397721
241337,2,48.191513,-96.7728392
241338,2,44.4592042,-92.2869788
241339,2,44.5055978,-96.4189341
241340,2,47.517988,-92.2291144
241341,2,45.1997475,-96.0089938
241342,2,45.3154633,-96.4461211
241343,2,44.8085186,-95.5433033
241344,2,48.8395505,-95.7602691
241345,2,44.0817943,-93.5081963
241346,2,44.4862751,-92.9011503
241347,2,44.7079634,-96.2784873
241348,2,44.2719106,-96.1303616
241349,2,45.3745926,-94.7157516
241350,2,46.4417188,-92.7759113
241351,2,44.53031419,-95.0898026
241353,2,46.484097,-93.9449112
241354,2,46.4468697,-95.1332104
241355,2,44.7779157,-94.1523482
241356,2,46.072725,-93.6623498
241357,2,47.5705098,-95.7395789
241358,2,47.3844577,-94.6085112
241359,2,44.4477311,-95.7773768
241360,2,47.3439854,-93.7911816
241361,2,44.5461458,-93.5740172
241362,2,45.300554,-93.7789373
241363,2,45.5850312,-95.9046988
241364,2,46.7313288,-92.4619532
241365,2,45.3143218,-95.6090145
241366,2,45.1195322,-94.5291832
241367,2,45.8748227,-93.2910215
241368,2,45.7458167,-94.9559795
241369,2,43.6341749,-94.0999826
241370,2,45.9672109,-94.3622618
241371,2,43.6723935,-96.2106389
241372,2,45.0171353,-96.1884515
241373,2,46.5938009,-95.5934577
241374,2,43.9905667,-96.3229342
241375,2,44.4541379,-93.9155287
241376,2,45.6465777,-95.3891511
241377,2,46.2911205,-96.5880653
241378,2,44.3127366,-94.4761445
241379,2,45.9906053,-95.9582033
241380,2,46.916366,-95.0623635
241381,2,48.0908559,-96.1951383
