"tract_fips","time_frame","PPOPWOINS","PPOPWINSPRIV","PPOPWINSPUB","PPOPWEMPINS","PPOPWMEDICARE","PPOPWMEDICAID"
"32001950100","2017-2021","11.95","70.52","32.05","52.55","20.06","12.34"
"32001950301","2017-2021","16.53","52.89","44.98","41.20","24.54","27.88"
"32001950302","2017-2021","5.55","67.60","40.62","53.33","14.23","24.78"
"32001950400","2017-2021","9.37","89.34","5.01","7.92",".00","3.72"
"32001950500","2017-2021","17.03","49.47","47.34","37.54","22.21","29.95"
"32001950600","2017-2021","4.65","79.00","39.88","50.67","27.19","5.87"
"32001950700","2017-2021","9.44","73.96","35.59","53.55","23.05","9.58"
"32003000101","2017-2021","18.71","54.02","33.82","45.79","11.63","23.35"
"32003000103","2017-2021","24.66","43.35","39.02","38.17","13.60","29.72"
"32003000105","2017-2021","20.24","44.63","43.07","39.07","14.58","30.49"
"32003000106","2017-2021","23.04","39.42","51.39","30.81","31.16","30.35"
"32003000107","2017-2021","19.63","34.02","51.59","30.86","24.75","37.10"
"32003000108","2017-2021","23.32","38.96","54.08","36.25","10.00","45.62"
"32003000109","2017-2021","13.99","36.44","56.72","28.83","19.07","43.04"
"32003000201","2017-2021","21.83","39.60","49.21","33.00","16.58","37.70"
"32003000203","2017-2021","18.38","38.86","49.16","34.07","11.72","38.81"
"32003000204","2017-2021","8.27","70.76","27.99","45.11","17.79","11.53"
"32003000301","2017-2021","21.29","25.30","57.04","22.56","11.85","49.09"
"32003000302","2017-2021","14.59","25.96","63.80","23.42","11.51","55.33"
"32003000401","2017-2021","11.91","14.82","76.33","9.01","25.73","60.22"
"32003000402","2017-2021","23.98","25.77","53.76","23.72","11.01","49.36"
"32003000403","2017-2021","19.70","19.34","67.37","15.36","31.66","48.89"
"32003000510","2017-2021","28.29","40.08","32.57","37.07","7.16","27.97"
"32003000513","2017-2021","23.48","36.74","44.70","32.12","15.27","32.34"
"32003000514","2017-2021","26.50","34.29","45.66","30.22","17.35","34.57"
"32003000515","2017-2021","25.51","34.59","49.15","29.07","7.77","43.90"
"32003000516","2017-2021","25.14","34.19","43.51","32.58","7.55","38.62"
"32003000517","2017-2021","21.06","49.95","34.48","45.76","8.37","27.96"
"32003000518","2017-2021","27.05","36.49","40.32","32.29","9.73","34.26"
"32003000519","2017-2021","19.22","49.03","35.42","41.91","7.34","31.19"
"32003000520","2017-2021","29.13","35.03","37.98","34.17","7.40","33.96"
"32003000521","2017-2021","25.62","24.87","52.28","22.34","13.96","39.45"
"32003000522","2017-2021","34.78","22.56","44.81","19.80","9.25","41.19"
"32003000523","2017-2021","27.30","15.22","60.21","13.86","7.40","55.88"
"32003000524","2017-2021","26.57","29.21","47.32","24.09","14.93","36.96"
"32003000525","2017-2021","28.00","30.41","44.24","25.28","13.76","36.24"
"32003000526","2017-2021","28.97","31.69","40.57","30.14","7.79","34.26"
"32003000527","2017-2021","23.43","45.14","36.05","38.63","9.19","27.74"
"32003000528","2017-2021","26.70","34.88","40.89","33.20","3.91","36.86"
"32003000600","2017-2021","17.26","34.70","50.75","31.40","15.67","38.54"
"32003000700","2017-2021","18.75","55.99","30.53","41.05","10.59","26.25"
"32003001003","2017-2021","15.55","47.16","46.16","36.47","17.37","33.81"
"32003001004","2017-2021","9.65","52.81","46.16","43.25","23.70","28.07"
"32003001005","2017-2021","9.11","70.10","34.61","53.20","22.56","13.30"
"32003001006","2017-2021","11.09","61.38","36.63","48.37","24.33","15.21"
"32003001100","2017-2021","28.08","34.87","38.65","28.63","13.76","29.67"
"32003001200","2017-2021","21.74","38.28","47.86","30.21","21.87","33.71"
"32003001300","2017-2021","20.63","49.59","34.12","43.32","11.23","26.70"
"32003001401","2017-2021","34.22","29.61","40.59","26.97","20.71","28.72"
"32003001402","2017-2021","14.73","50.49","40.49","47.66","11.74","31.85"
"32003001501","2017-2021","16.88","38.02","51.34","31.56","17.46","40.32"
"32003001502","2017-2021","14.17","39.75","53.50","34.35","26.81","34.80"
"32003001607","2017-2021","20.57","36.28","55.58","24.70","19.38","40.75"
"32003001608","2017-2021","20.00","28.67","59.69","21.36","18.75","46.74"
"32003001609","2017-2021","16.08","55.97","34.83","52.36","10.84","26.52"
"32003001610","2017-2021","12.62","50.75","40.18","46.99","11.90","29.92"
"32003001611","2017-2021","17.07","49.62","41.60","41.27","17.23","29.59"
"32003001613","2017-2021","15.76","48.92","41.37","46.25","11.14","31.85"
"32003001614","2017-2021","15.72","37.44","56.90","22.96","15.21","44.57"
"32003001615","2017-2021","18.81","41.25","47.80","34.45","11.27","39.79"
"32003001706","2017-2021","13.92","52.71","45.18","43.90","24.50","24.80"
"32003001707","2017-2021","13.38","60.17","40.68","43.60","21.51","15.29"
"32003001708","2017-2021","9.87","58.07","45.78","48.28","20.80","27.56"
"32003001709","2017-2021","10.07","59.40","38.54","46.95","20.99","23.31"
"32003001710","2017-2021","16.32","49.30","40.58","44.53","18.89","26.09"
"32003001711","2017-2021","19.69","48.57","50.21","29.66","31.01","22.24"
"32003001712","2017-2021","13.09","52.55","46.53","44.53","22.66","27.30"
"32003001713","2017-2021","5.55","79.23","35.38","60.46","25.17","12.18"
"32003001714","2017-2021","8.59","58.19","42.87","49.79","21.25","21.12"
"32003001715","2017-2021","20.78","53.34","33.17","45.06","14.34","18.56"
"32003001716","2017-2021","12.70","49.36","52.76","47.13","18.12","41.45"
"32003001717","2017-2021","7.16","71.91","44.52","62.50","28.79","17.91"
"32003001718","2017-2021","25.74","30.07","50.43","26.64","8.84","43.36"
"32003001801","2017-2021","17.23","49.41","44.12","41.37","18.16","30.41"
"32003001803","2017-2021","21.80","47.67","35.57","39.13","11.39","26.07"
"32003001804","2017-2021","21.79","41.51","41.69","35.29","14.34","30.77"
"32003001901","2017-2021","15.56","50.13","40.38","36.84","11.38","32.75"
"32003001902","2017-2021","21.28","38.82","44.57","32.01","13.98","35.78"
"32003002000","2017-2021","26.68","35.76","43.62","25.87","14.86","31.10"
"32003002201","2017-2021","19.18","39.14","49.78","28.44","28.64","32.38"
"32003002203","2017-2021","31.36","39.45","33.20","33.40","7.77","29.28"
"32003002204","2017-2021","35.12","23.35","44.87","20.02","4.98","40.60"
"32003002206","2017-2021","19.66","45.42","43.08","37.97","14.17","32.75"
"32003002207","2017-2021","25.32","37.14","38.99","33.17","4.84","34.40"
"32003002302","2017-2021","14.02","63.71","41.24","42.06","30.31","10.52"
"32003002303","2017-2021","8.11","73.40","38.12","34.85","37.13","8.25"
"32003002403","2017-2021","22.81","42.67","38.39","39.37","15.67","26.52"
"32003002404","2017-2021","21.69","28.60","60.42","22.73","12.46","52.14"
"32003002405","2017-2021","30.93","32.33","40.00","28.98","9.91","32.67"
