start_id,end_id,distance_miles
900000001,900000002,2793
900000003,900000002,2016
900000004,900000002,1548
900000005,900000002,372
900000006,900000002,2703
900000007,900000002,1353
900000008,900000002,120
900000009,900000002,1438
900000010,900000002,339
900000001,900000003,790
900000002,900000003,2016
900000004,900000003,1072
900000005,900000003,1750
900000006,900000003,759
900000007,900000003,1231
900000008,900000003,2077
900000009,900000003,958
900000010,900000003,2162
900000001,900000004,1628
900000002,900000004,1548
900000003,900000004,1072
900000005,900000004,1176
900000006,900000004,1543
900000007,900000004,195
900000008,900000004,1469
900000009,900000004,239
900000010,900000004,1884
900000001,900000005,2430
900000002,900000005,372
900000003,900000005,1750
900000004,900000005,1176
900000006,900000005,2334
900000007,900000005,981
900000008,900000005,355
900000009,900000005,1064
900000010,900000005,709
900000001,900000006,94
900000002,900000006,2703
900000003,900000006,759
900000004,900000006,1543
900000005,900000006,2334
900000007,900000006,1740
900000008,900000006,2725
900000009,900000006,1466
900000010,900000006,2902
900000001,900000007,1822
900000002,900000007,1353
900000003,900000007,1231
900000004,900000007,195
900000005,900000007,981
900000006,900000007,1740
900000008,900000007,1275
900000009,900000007,273
900000010,900000007,1690
900000001,900000008,2823
900000002,900000008,120
900000003,900000008,2077
900000004,900000008,1469
900000005,900000008,355
900000006,900000008,2725
900000007,900000008,1275
900000009,900000008,1359
900000010,900000008,460
900000001,900000009,1548
900000002,900000009,1438
900000003,900000009,958
900000004,900000009,239
900000005,900000009,1064
900000006,900000009,1466
900000007,900000009,273
900000008,900000009,1359
900000010,900000009,1685
900000001,900000010,2937
900000002,900000010,339
900000003,900000010,2162
900000004,900000010,1884
900000005,900000010,709
900000006,900000010,2902
900000007,900000010,1690
900000008,900000010,460
900000009,900000010,1685
900000002,900000001,2793
900000003,900000001,790
900000004,900000001,1628
900000005,900000001,2430
900000006,900000001,94
900000007,900000001,1822
900000008,900000001,2823
900000009,900000001,1548
900000010,900000001,2937
