Day HAPPINESS.newWaiting_Initial,HAPPINESS.Waiting_Initial,HAPPINESS.totWaiting_Initial,HAPPINESS.newWaiting,HAPPINESS.Waiting,HAPPINESS.totWaiting,HAPPINESS.newEvaluating_Happiness,HAPPINESS.Evaluating_Happiness,HAPPINESS.totEvaluating_Happiness,HAPPINESS.newHappy,HAPPINESS.Happy,HAPPINESS.totHappy,HAPPINESS.newUnhappy,HAPPINESS.Unhappy,HAPPINESS.totUnhappy,HAPPINESS.newExcluded,HAPPINESS.Excluded,HAPPINESS.totExcluded
0 180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1 0,8,180,311,172,311,311,0,311,193,0,193,118,0,118,0,1,1
2 0,0,180,356,180,667,356,0,667,296,0,489,60,0,178,0,1,1
3 0,0,180,346,180,1013,346,0,1013,313,0,802,33,0,211,0,1,1
4 0,0,180,350,180,1363,350,0,1363,338,0,1140,12,0,223,0,1,1
5 0,0,180,359,180,1722,359,0,1722,357,0,1497,2,0,225,0,1,1
6 0,0,180,358,180,2080,358,0,2080,357,0,1854,1,0,226,0,1,1
7 0,0,180,319,180,2399,319,0,2399,319,0,2173,0,0,226,0,1,1
8 0,0,180,356,180,2755,356,0,2755,356,0,2529,0,0,226,0,1,1
9 0,0,180,361,180,3116,361,0,3116,361,0,2890,0,0,226,0,1,1
