Day REWIRE.newWaiting,REWIRE.Waiting,REWIRE.totWaiting,REWIRE.newDelete_Links,REWIRE.Delete_Links,REWIRE.totDelete_Links,REWIRE.newAdd_Links,REWIRE.Add_Links,REWIRE.totAdd_Links,REWIRE.newExcluded,REWIRE.Excluded,REWIRE.totExcluded
0 180,180,180,0,0,0,0,0,0,1,1,1
1 118,180,298,118,0,118,118,0,118,0,1,1
2 60,180,358,60,0,178,60,0,178,0,1,1
3 33,180,391,33,0,211,33,0,211,0,1,1
4 12,180,403,12,0,223,12,0,223,0,1,1
5 2,180,405,2,0,225,2,0,225,0,1,1
6 1,180,406,1,0,226,1,0,226,0,1,1
7 0,180,406,0,0,226,0,0,226,0,1,1
8 0,180,406,0,0,226,0,0,226,0,1,1
9 0,180,406,0,0,226,0,0,226,0,1,1
