Day SETUP_NETWORK.newGenerating_Edges,SETUP_NETWORK.Generating_Edges,SETUP_NETWORK.totGenerating_Edges,SETUP_NETWORK.newPruning_Edges,SETUP_NETWORK.Pruning_Edges,SETUP_NETWORK.totPruning_Edges,SETUP_NETWORK.newExcluded,SETUP_NETWORK.Excluded,SETUP_NETWORK.totExcluded
0 1,0,1,180,0,180,181,181,181
1 0,0,1,0,0,180,0,181,181
2 0,0,1,0,0,180,0,181,181
3 0,0,1,0,0,180,0,181,181
4 0,0,1,0,0,180,0,181,181
5 0,0,1,0,0,180,0,181,181
6 0,0,1,0,0,180,0,181,181
7 0,0,1,0,0,180,0,181,181
8 0,0,1,0,0,180,0,181,181
9 0,0,1,0,0,180,0,181,181
