Day,Date,EpiWeek,Popsize,SETUP_NETWORK.newGenerating_Edges,SETUP_NETWORK.Generating_Edges,SETUP_NETWORK.totGenerating_Edges,SETUP_NETWORK.newPruning_Edges,SETUP_NETWORK.Pruning_Edges,SETUP_NETWORK.totPruning_Edges,SETUP_NETWORK.newExcluded,SETUP_NETWORK.Excluded,SETUP_NETWORK.totExcluded,HAPPINESS.newWaiting_Initial,HAPPINESS.Waiting_Initial,HAPPINESS.totWaiting_Initial,HAPPINESS.newWaiting,HAPPINESS.Waiting,HAPPINESS.totWaiting,HAPPINESS.newEvaluating_Happiness,HAPPINESS.Evaluating_Happiness,HAPPINESS.totEvaluating_Happiness,HAPPINESS.newHappy,HAPPINESS.Happy,HAPPINESS.totHappy,HAPPINESS.newUnhappy,HAPPINESS.Unhappy,HAPPINESS.totUnhappy,HAPPINESS.newExcluded,HAPPINESS.Excluded,HAPPINESS.totExcluded,REWIRE.newWaiting,REWIRE.Waiting,REWIRE.totWaiting,REWIRE.newDelete_Links,REWIRE.Delete_Links,REWIRE.totDelete_Links,REWIRE.newAdd_Links,REWIRE.Add_Links,REWIRE.totAdd_Links,REWIRE.newExcluded,REWIRE.Excluded,REWIRE.totExcluded
0,2023-01-01,2023.01,180,1,0,1,180,0,180,181,181,181,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,180,180,180,0,0,0,0,0,0,1,1,1
1,2023-01-02,2023.01,180,0,0,1,0,0,180,0,181,181,0,8,180,311,172,311,311,0,311,193,0,193,118,0,118,0,1,1,118,180,298,118,0,118,118,0,118,0,1,1
2,2023-01-03,2023.01,180,0,0,1,0,0,180,0,181,181,0,0,180,356,180,667,356,0,667,296,0,489,60,0,178,0,1,1,60,180,358,60,0,178,60,0,178,0,1,1
3,2023-01-04,2023.01,180,0,0,1,0,0,180,0,181,181,0,0,180,346,180,1013,346,0,1013,313,0,802,33,0,211,0,1,1,33,180,391,33,0,211,33,0,211,0,1,1
4,2023-01-05,2023.01,180,0,0,1,0,0,180,0,181,181,0,0,180,350,180,1363,350,0,1363,338,0,1140,12,0,223,0,1,1,12,180,403,12,0,223,12,0,223,0,1,1
5,2023-01-06,2023.01,180,0,0,1,0,0,180,0,181,181,0,0,180,359,180,1722,359,0,1722,357,0,1497,2,0,225,0,1,1,2,180,405,2,0,225,2,0,225,0,1,1
6,2023-01-07,2023.01,180,0,0,1,0,0,180,0,181,181,0,0,180,358,180,2080,358,0,2080,357,0,1854,1,0,226,0,1,1,1,180,406,1,0,226,1,0,226,0,1,1
7,2023-01-08,2023.02,180,0,0,1,0,0,180,0,181,181,0,0,180,319,180,2399,319,0,2399,319,0,2173,0,0,226,0,1,1,0,180,406,0,0,226,0,0,226,0,1,1
8,2023-01-09,2023.02,180,0,0,1,0,0,180,0,181,181,0,0,180,356,180,2755,356,0,2755,356,0,2529,0,0,226,0,1,1,0,180,406,0,0,226,0,0,226,0,1,1
9,2023-01-10,2023.02,180,0,0,1,0,0,180,0,181,181,0,0,180,361,180,3116,361,0,3116,361,0,2890,0,0,226,0,1,1,0,180,406,0,0,226,0,0,226,0,1,1
